,Satellite ID(Fake),Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Users,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
25,26,Starlink-1033,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AB,44738.0
26,27,Starlink-1034,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AW,44757.0
27,28,Starlink-1035,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,569.0,571.0,0.00014409221902017292,53.0,96.0,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AD,44740.0
28,29,Starlink-1036,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AE,44741.0
29,30,Starlink-1037,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AF,44742.0
30,31,Starlink-1038,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AG,44743.0
31,32,Starlink-1039,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AH,44744.0
32,33,Starlink-1041,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AK,44746.0
33,34,Starlink-1042,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AL,44747.0
34,35,Starlink-1043,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AM,44748.0
35,36,Starlink-1044,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AN,44749.0
36,37,Starlink-1045,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AP,44750.0
37,38,Starlink-1046,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AQ,44751.0
38,39,Starlink-1047,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,553.0,556.0,0.00021662213878258357,53.0,95.7,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AR,44752.0
39,40,Starlink-1048,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AS,44753.0
40,41,Starlink-1049,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AT,44754.0
41,42,Starlink-1050,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AU,44755.0
42,43,Starlink-1051,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AV,44756.0
43,44,Starlink-1052,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AC,44739.0
44,45,Starlink-1053,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AX,44758.0
45,46,Starlink-1054,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074Y,44759.0
46,47,Starlink-1055,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074AZ,44760.0
47,48,Starlink-1056,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BA,44761.0
48,49,Starlink-1057,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BB,44762.0
49,50,Starlink-1058,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BC,44763.0
50,51,Starlink-1059,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BD,44764.0
51,52,Starlink-1060,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BE,44765.0
52,53,Starlink-1061,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074BF,44766.0
